token,count
[C],871917589
[=C],271393199
[Ring1],189019707
[Branch1],158320277
[N],124212262
[=Branch1],112017424
[O],77540139
[=O],66509991
[=N],41753158
[Branch2],40919242
[Ring2],37943268
[S],28146762
[#Branch1],25356295
[F],22582239
[=Branch2],19411379
[#Branch2],14864774
[Cl],12545859
[#C],10590274
[P],7905992
[=Ring1],5829754
[Br],5464996
[/C],5282879
[NH1],4937911
[O-1],3075133
[N+1],2722773
[#N],2512844
[=S],1693823
[\C],1054586
[=Ring2],997185
[/N],719586
[=N+1],432623
[H],359992
[\N],338155
[S+1],323490
[/O],191815
[\O],128798
[\S],77927
[C-1],63692
[#N+1],63678
[/S],62493
[=N-1],57065
[N-1],31715
[CH1],25054
[/Cl],15628
[CH0],12260
[/N+1],11760
[\Cl],10069
[\F],7652
[/F],7510
[NH1+1],7015
[OH0],5621
[-\Ring1],5508
[/Br],4271
[#C-1],4029
[C+1],4022
[\N+1],3717
[=C-1],3705
[\O-1],3642
[\Br],3609
[=O+1],3054
[-/Ring1],2594
[-\Ring2],2492
[CH1-1],2398
[=NH1+1],2196
[/S+1],2138
[S-1],2136
[O+1],2058
[\NH1],1984
[/O-1],1923
[-/Ring2],1672
[=S+1],1617
[=NH2+1],1585
[CH2],1473
[NH0],1453
[NH2+1],1445
[C-2],1395
[\S+1],1331
[/NH1],1292
[NH1-1],1067
[=C+1],1040
[Cl+3],1036
[=SH1],774
[CH1-2],764
[SH1],763
[CH2-1],738
[=OH1+1],637
[=CH0],604
[/CH0],345
[#S],330
[/H],314
[SH0],169
[\CH0],148
[#Ring2],119
[\H],115
[=NH0],113
[/C-1],106
[N-2],104
[\C-2],101
[#Ring1],101
[Br+2],79
[OH1+1],76
[Cl+1],64
[/S-1],62
[#SH1],61
[#O+1],54
[C-3],47
[/CH1],46
[/NH1+1],46
[\N-1],46
[Cl+2],43
[/C+1],41
[\S-1],39
[SH1+1],39
[/C-2],35
[/N-1],34
[=SH0],33
[/NH2+1],28
[=S-1],25
[/NH1-1],25
[=SH2],24
[CH1+1],24
[\NH1+1],22
[\C-1],21
[\CH1],21
[\C+1],20
[\NH1-1],11
[ClH2+2],9
[=CH1-1],8
[\O+1],8
[/CH1-2],7
[\NH0],7
[NH3+1],6
[=CH1],6
[#S+1],5
[#C+1],5
[\NH2+1],4
[\CH1-2],3
[/NH0],3
[/C-3],3
[/O+1],3
[#CH0],3
[#S-1],3
[CH2+1],3
[\OH0],2
[\SH1],2
[ClH1+3],2
[SH1-1],2
[/SH0],2
[/SH1],2
[ClH2+3],2
[=SH1+1],2
[/CH1-1],2
[Br+1],2
[\SH0],1
[ClH1+2],1
[\CH1-1],1
[#SH2],1
[=C-2],1
[\N-2],1
[/CH2],1
[/OH0],1
[SH2],1
[ClH3+3],1
